plan_region_name,plan_dc_name,code,plan_clustername,ClusterDC
East US,Blue Ridge 3,2136244,NULL,NULL
East US,Blue Ridge 3,2136245,NULL,NULL
East US,Blue Ridge 3,2136246,NULL,NULL
East US,Blue Ridge 3,2136247,NULL,NULL
East US,Blue Ridge 3,2136248,NULL,NULL
East US,Blue Ridge 3,2136249,NULL,NULL
East US,Blue Ridge 2,2136250,NULL,NULL
East US,Blue Ridge 4,2136251,NULL,NULL
East US,Blue Ridge BL5,2136252,NULL,NULL
East US,Blue Ridge BL5,2136253,NULL,NULL
East US,Blue Ridge BL5,2136254,NULL,NULL
East US,Blue Ridge BL5,2136255,NULL,NULL
East US,Blue Ridge BL5,2136256,NULL,NULL
East US,Blue Ridge BL5,2136257,NULL,NULL
East US,Blue Ridge BL5,2136258,NULL,NULL
East US,Blue Ridge BL5,2136259,NULL,NULL
East US,Blue Ridge BL5,2136260,NULL,NULL
East US,Blue Ridge BL5,2136261,NULL,NULL
East US,Blue Ridge BL5,2136262,NULL,NULL
East US,Blue Ridge BL5,2136263,NULL,NULL
East US,Blue Ridge BL5,2136264,NULL,NULL
East US,Blue Ridge BL5,2136265,NULL,NULL
East US,Blue Ridge BL5,2136266,NULL,NULL
East US,Blue Ridge BL5,2136267,NULL,NULL
East US,Blue Ridge BL5,2136268,NULL,NULL
East US,Blue Ridge BL5,2136269,NULL,NULL
East US,Blue Ridge BL5,2136270,NULL,NULL
East US,Blue Ridge 2,2136271,NULL,NULL
East US,Blue Ridge 2,2136272,NULL,NULL
East US,Blue Ridge 2,2136273,NULL,NULL
East US,Blue Ridge 2,2136274,NULL,NULL
East US,Blue Ridge 2,2136275,NULL,NULL
East US,Blue Ridge 4,2136276,NULL,NULL
East US,Blue Ridge 4,2136277,NULL,NULL
East US,Blue Ridge 2,2136278,NULL,NULL
East US,Blue Ridge 2,2136279,NULL,NULL
East US,Blue Ridge 2,2136280,NULL,NULL
East US,Blue Ridge 2,2136281,NULL,NULL
East US,Blue Ridge 2,2136282,NULL,NULL
East US,Blue Ridge BL5,2136283,NULL,NULL
East US,Blue Ridge BL5,2136284,NULL,NULL
East US,Blue Ridge BL5,2136285,NULL,NULL
East US,Blue Ridge BL5,2136286,NULL,NULL
East US,Blue Ridge BL5,2136287,NULL,NULL
East US,Blue Ridge BL5,2136288,NULL,NULL
East US,Blue Ridge BL5,2136289,NULL,NULL
East US,Blue Ridge BL5,2136290,NULL,NULL
East US,Blue Ridge BL5,2136291,NULL,NULL
East US 2,Boydton BN6,2136292,NULL,NULL
East US 2,Boydton BN6,2136293,NULL,NULL
East US 2,Boydton 3,2136294,NULL,NULL
East US 2,Boydton 3,2136295,NULL,NULL
East US 2,Boydton BN6,2136296,NULL,NULL
East US 2,Boydton BN6,2136297,NULL,NULL
East US 2,Boydton BN6,2136298,NULL,NULL
East US 2,Boydton BN6,2136299,NULL,NULL
East US 2,Boydton BN6,2136300,NULL,NULL
East US 2,Boydton BN6,2136301,NULL,NULL
East US 2,Boydton BN6,2136302,NULL,NULL
East US 2,Boydton BN6,2136303,NULL,NULL
East US 2,Boydton BN6,2136304,NULL,NULL
East US 2,Boydton BN6,2136305,NULL,NULL
East US 2,Boydton BN6,2136306,NULL,NULL
East US 2,Boydton BN6,2136307,NULL,NULL
East US 2,Boydton BN6,2136308,NULL,NULL
East US 2,Boydton BN6,2136309,NULL,NULL
East US 2,Boydton BN6,2136310,NULL,NULL
East US 2,Boydton BN6,2136311,NULL,NULL
East US 2,Boydton BN6,2136312,NULL,NULL
East US 2,Boydton 3,2136313,NULL,NULL
USGov Iowa,Des Moines 2,2136314,NULL,NULL
USGov Virginia,Boydton 1,2136315,NULL,NULL
North Central US,Chicago 1,2136316,NULL,NULL
North Central US,Chicago 1,2136317,NULL,NULL
North Central US,Chicago 1,2136318,NULL,NULL
North Central US,Chicago 1,2136319,NULL,NULL
North Central US,Chicago 1,2136320,NULL,NULL
North Central US,Chicago 1,2136321,NULL,NULL
North Central US,Chicago 1,2136322,NULL,NULL
North Central US,Chicago 1,2136323,NULL,NULL
North Central US,Chicago 1,2136324,NULL,NULL
North Central US,Chicago 1,2136325,NULL,NULL
North Central US,Chicago 1,2136326,NULL,NULL
North Central US,Chicago 1,2136327,NULL,NULL
North Central US,Chicago 1,2136328,NULL,NULL
North Central US,Chicago 1,2136329,NULL,NULL
North Central US,Chicago 1,2136330,NULL,NULL
North Central US,Chicago 1,2136331,NULL,NULL
North Central US,Chicago 1,2136332,NULL,NULL
North Central US,Chicago 1,2136333,NULL,NULL
North Central US,Chicago 1,2136334,NULL,NULL
North Central US,Chicago 1,2136335,NULL,NULL
North Central US,Chicago 1,2136336,NULL,NULL
North Central US,Chicago 1,2136337,NULL,NULL
North Central US,Chicago 1,2136338,NULL,NULL
North Central US,Chicago 1,2136339,NULL,NULL
North Central US,Chicago 1,2136340,NULL,NULL
North Central US,Chicago 1,2136341,NULL,NULL
North Central US,Chicago 1,2136342,NULL,NULL
Japan East,Tokyo TYO01,2257233,TY1PrdGPZ02,TY1
Japan East,Tokyo TYO01,2257234,NULL,NULL
USGov Iowa,Des Moines 2,2257235,NULL,NULL
USGov Iowa,Des Moines 2,2257236,NULL,NULL
UK West,Cardiff CWL20,2257237,NULL,NULL
UK West,Cardiff CWL20,2257238,NULL,NULL
UK West,Cardiff CWL20,2257239,NULL,NULL
UK South,London LON21,2257240,LN1PrdStp03,LN1
UK West,Cardiff CWL20,2257241,NULL,NULL
UK South,London LON21,2257242,NULL,NULL
UK West,Cardiff CWL20,2257243,NULL,NULL
Southeast Asia,Singapore IDC2,2257244,NULL,NULL
Australia Southeast,Melbourne MEL20,2257245,NULL,NULL
Australia East,Sydney SYD23,2257246,NULL,NULL
Australia East,Sydney SYD23,2257247,NULL,NULL
Australia Southeast,Melbourne MEL01,2257248,NULL,NULL
Southeast Asia,Singapore IDC2,2257249,NULL,NULL
Southeast Asia,Singapore IDC2,2257250,NULL,NULL
Southeast Asia,Singapore IDC2,2257251,NULL,NULL
Southeast Asia,Singapore IDC2,2257252,NULL,NULL
Australia East,Sydney SYD23,2257253,NULL,NULL
Australia East,Sydney SYD23,2257254,NULL,NULL
Australia East,Sydney SYD23,2257255,NULL,NULL
Australia East,Sydney SYD23,2257256,NULL,NULL
USDoD Central,Des Moines 3,2257257,NULL,NULL
USDoD Central,Des Moines 3,2257258,NULL,NULL
USGov Iowa,Des Moines 2,2257259,NULL,NULL
USGov Iowa,Des Moines 2,2257260,NULL,NULL
East US 2,Boydton BN7,2257261,NULL,NULL
East US 2,Boydton BN7,2257262,NULL,NULL
East US,Blue Ridge BL6,2257263,NULL,NULL
East US,Blue Ridge BL6,2257264,NULL,NULL
Germany Central,Frankfurt FRA20,2257265,NULL,NULL
Central US,Des Moines DSM06,2257266,NULL,NULL
Japan East,Tokyo TYO01,2257267,NULL,NULL
East US 2,Boydton BN7,2257268,NULL,NULL
West US 2,Quincy MWH02,2257269,NULL,NULL
East US 2,Boydton BN7,2257270,BZ7PrdApp05,BZ7
West Central US,Cheyenne CYS04,2257271,NULL,NULL
Australia East,Sydney SYD21,2257272,NULL,NULL
Korea South,Busan PUS20,2257273,NULL,NULL
South Central US,San Antonio IDC6,2257274,NULL,NULL
South Central US,San Antonio IDC6,2257275,NULL,NULL
South Central US,San Antonio IDC6,2257276,NULL,NULL
Australia East,Sydney SYD03,2257277,NULL,NULL
Australia East,Sydney SYD03,2257278,NULL,NULL
Australia East,Sydney SYD03,2257279,NULL,NULL
Australia East,Sydney SYD21,2257280,NULL,NULL
Australia East,Sydney SYD21,2257281,NULL,NULL
Korea Central,Seoul SEL21,2257282,NULL,NULL
Korea Central,Seoul SEL20,2257283,NULL,NULL
Southeast Asia,Singapore IDC2,2257284,NULL,NULL
Southeast Asia,Singapore IDC2,2257285,NULL,NULL
Korea Central,Seoul SEL21,2257286,NULL,NULL
Korea Central,Seoul SEL21,2257287,NULL,NULL
UK West,Cardiff CWL20,2257288,NULL,NULL
UK West,Cardiff CWL20,2257289,NULL,NULL
UK South 2,London LON20,2257290,NULL,NULL
UK North,Durham,2257291,NULL,NULL
UK West,Cardiff CWL20,2257292,NULL,NULL
UK West,Cardiff CWL20,2257293,NULL,NULL
Central US,Des Moines DSM05,2257294,NULL,NULL
North Europe,Dublin DUB07,2257295,NULL,NULL
West Europe,Amsterdam AMS20,2257296,NULL,NULL
North Europe,Dublin DUB07,2257297,NULL,NULL
North Europe,Dublin DUB07,2257298,NULL,NULL
East US,Blue Ridge BL20,2199987,NULL,NULL
East US,Blue Ridge BL20,2199988,NULL,NULL
East US,Blue Ridge BL20,2199989,NULL,NULL
East US,Blue Ridge BL20,2199990,NULL,NULL
East US,Blue Ridge BL20,2199991,NULL,NULL
East US,Blue Ridge BL20,2199992,NULL,NULL
East US,Blue Ridge BL20,2199993,NULL,NULL
East US,Blue Ridge BL5,2199994,NULL,NULL
East US,Blue Ridge BL20,2199995,NULL,NULL
East US,Blue Ridge BL20,2199996,NULL,NULL
East US,Blue Ridge BL20,2199997,NULL,NULL
East US,Blue Ridge BL20,2199998,NULL,NULL
East US,Blue Ridge BL20,2199999,NULL,NULL
East US,Blue Ridge BL20,2200000,NULL,NULL
East US,Blue Ridge BL20,2200001,NULL,NULL
East US,Blue Ridge BL20,2200002,NULL,NULL
East US,Blue Ridge BL20,2200003,NULL,NULL
East US,Blue Ridge BL20,2200004,NULL,NULL
East US,Blue Ridge BL20,2200005,NULL,NULL
East US,Blue Ridge BL20,2200006,NULL,NULL
East US,Blue Ridge BL20,2200007,NULL,NULL
East US,Blue Ridge BL20,2200008,NULL,NULL
East US,Blue Ridge BL20,2200009,NULL,NULL
East US,Blue Ridge BL20,2200010,NULL,NULL
East US,Blue Ridge BL20,2200011,NULL,NULL
East US,Blue Ridge BL20,2200012,NULL,NULL
East US,Blue Ridge BL20,2200013,NULL,NULL
East US,Blue Ridge BL20,2200014,NULL,NULL
East US,Blue Ridge BL20,2200015,NULL,NULL
East US 2,Boydton BN7,2200016,NULL,NULL
East US 2,Boydton BN7,2200017,NULL,NULL
East US 2,Boydton BN7,2200018,NULL,NULL
East US 2,Boydton BN7,2200019,NULL,NULL
East US 2,Boydton BN6,2200020,NULL,NULL
East US 2,Boydton BN6,2200021,NULL,NULL
East US 2,Boydton BN7,2200022,NULL,NULL
East US 2,Boydton BN7,2200023,NULL,NULL
East US 2,Boydton BN6,2200024,NULL,NULL
East US 2,Boydton BN6,2200025,NULL,NULL
East US 2,Boydton BN6,2200026,NULL,NULL
East US 2,Boydton BN7,2200027,NULL,NULL
East US 2,Boydton BN7,2200028,NULL,NULL
East US 2,Boydton BN7,2200029,NULL,NULL
East US 2,Boydton BN7,2200030,NULL,NULL
East US 2,Boydton BN7,2200031,NULL,NULL
East US 2,Boydton BN7,2200032,NULL,NULL
East US 2,Boydton BN7,2200033,NULL,NULL
East US 2,Boydton BN7,2200034,NULL,NULL
East US 2,Boydton BN7,2200035,NULL,NULL
East US 2,Boydton BN7,2200036,NULL,NULL
East US 2,Boydton BN7,2200037,NULL,NULL
East US 2,Boydton BN7,2200038,NULL,NULL
East US 2,Boydton BN6,2200039,NULL,NULL
East US 2,Boydton BN7,2200040,NULL,NULL
East US 2,Boydton BN6,2200041,NULL,NULL
East US 2,Boydton BN7,2200042,NULL,NULL
East US 2,Boydton BN7,2200043,NULL,NULL
East US 2,Boydton BN7,2200044,NULL,NULL
East US 2,Boydton BN7,2200045,NULL,NULL
East US 2,Boydton BN6,2200046,NULL,NULL
East US 2,Boydton BN7,2200047,NULL,NULL
East US 2,Boydton BN7,2200048,NULL,NULL
East US 2,Boydton BN7,2200049,NULL,NULL
East US 2,Boydton BN7,2200050,NULL,NULL
East US 2,Boydton BN7,2200051,NULL,NULL
East US 2,Boydton BN7,2200052,NULL,NULL
East US 2,Boydton BN7,2200053,NULL,NULL
East US 2,Boydton BN7,2200054,NULL,NULL
East US 2,Boydton BN7,2200055,NULL,NULL
East US 2,Boydton BN7,2200056,NULL,NULL
East US 2,Boydton BN7,2200057,NULL,NULL
East US 2,Boydton BN7,2200058,NULL,NULL
East US 2,Boydton BN7,2200059,NULL,NULL
East US 2,Boydton BN7,2200060,NULL,NULL
USGov Iowa,Des Moines 2,2200061,NULL,NULL
USGov Iowa,Des Moines 2,2200062,NULL,NULL
USGov Iowa,Des Moines 2,2200063,NULL,NULL
USGov Iowa,Des Moines 2,2200064,NULL,NULL
USGov Iowa,Des Moines 2,2200065,NULL,NULL
USGov Iowa,Des Moines 2,2200066,NULL,NULL
USGov Iowa,Des Moines 2,2200067,NULL,NULL
USGov Iowa,Des Moines 2,2200068,NULL,NULL
USGov Iowa,Des Moines 2,2200069,NULL,NULL
USGov Iowa,Des Moines 2,2200070,NULL,NULL
USGov Iowa,Des Moines 2,2200071,NULL,NULL
East US 2,Boydton BN6,2200072,NULL,NULL
East US 2,Boydton BN6,2200073,NULL,NULL
USGov Virginia,Boydton 1,2200074,NULL,NULL
USGov Virginia,Boydton 1,2200075,NULL,NULL
USGov Virginia,Boydton 1,2200076,NULL,NULL
USGov Virginia,Boydton 1,2200077,NULL,NULL
USGov Virginia,Boydton 1,2200078,NULL,NULL
USGov Virginia,Boydton 1,2200079,NULL,NULL
USGov Virginia,Boydton 1,2200080,NULL,NULL
USGov Virginia,Boydton 1,2200081,NULL,NULL
USGov Virginia,Boydton 1,2200082,NULL,NULL
USGov Virginia,Boydton 1,2200083,NULL,NULL
North Central US,Chicago CHI21,2200084,NULL,NULL
North Central US,Chicago CHI21,2200085,NULL,NULL
North Central US,Chicago CHI21,2200086,NULL,NULL
North Central US,Chicago CHI21,2200087,NULL,NULL
North Central US,Chicago 4,2200088,NULL,NULL
North Central US,Chicago CHI21,2200089,NULL,NULL
North Central US,Chicago CHI21,2200090,NULL,NULL
North Central US,Chicago 4,2200091,NULL,NULL
North Central US,Chicago 4,2200092,NULL,NULL
North Central US,Chicago 4,2200093,NULL,NULL
Central US,Des Moines DSM05,2200094,NULL,NULL
North Central US,Chicago CHI23,2200095,NULL,NULL
North Central US,Chicago CHI21,2200096,NULL,NULL
North Central US,Chicago 4,2200097,NULL,NULL
North Central US,Chicago CHI21,2200098,NULL,NULL
South Central US,San Antonio SAT12,2200099,NULL,NULL
South Central US,San Antonio SAT12,2200100,NULL,NULL
South Central US,San Antonio IDC4,2200101,NULL,NULL
South Central US,San Antonio IDC4,2200102,NULL,NULL
South Central US,San Antonio IDC1,2200103,NULL,NULL
South Central US,San Antonio IDC1,2200104,NULL,NULL
South Central US,San Antonio IDC1,2200105,NULL,NULL
South Central US,San Antonio IDC1,2200106,NULL,NULL
South Central US,San Antonio IDC1,2200107,NULL,NULL
South Central US,San Antonio IDC4,2200108,NULL,NULL
South Central US,San Antonio IDC4,2200109,NULL,NULL
South Central US,San Antonio IDC5,2200110,NULL,NULL
South Central US,San Antonio IDC5,2200111,NULL,NULL
South Central US,San Antonio IDC5,2200112,NULL,NULL
South Central US,San Antonio IDC5,2200113,NULL,NULL
South Central US,San Antonio IDC5,2200114,NULL,NULL
South Central US,San Antonio IDC5,2200115,NULL,NULL
South Central US,San Antonio IDC2,2200116,NULL,NULL
South Central US,San Antonio IDC2,2200117,NULL,NULL
South Central US,San Antonio IDC2,2200118,NULL,NULL
South Central US,San Antonio IDC2,2200119,NULL,NULL
South Central US,San Antonio IDC1,2200120,NULL,NULL
South Central US,San Antonio IDC1,2200121,NULL,NULL
South Central US,San Antonio IDC1,2200122,NULL,NULL
South Central US,San Antonio IDC4,2200123,NULL,NULL
South Central US,San Antonio IDC4,2200124,NULL,NULL
South Central US,San Antonio IDC5,2200125,NULL,NULL
South Central US,San Antonio IDC5,2200126,NULL,NULL
South Central US,San Antonio IDC5,2200127,NULL,NULL
South Central US,San Antonio IDC4,2200128,NULL,NULL
South Central US,San Antonio IDC4,2200129,NULL,NULL
South Central US,San Antonio IDC4,2200130,NULL,NULL
South Central US,San Antonio SAT12,2200131,NULL,NULL
South Central US,San Antonio IDC3,2200132,NULL,NULL
South Central US,San Antonio IDC5,2200133,NULL,NULL
South Central US,San Antonio SAT12,2200134,NULL,NULL
South Central US,San Antonio IDC5,2200135,NULL,NULL
South Central US,San Antonio IDC1,2200136,NULL,NULL
West US,Bay IDC4,2200137,NULL,NULL
West US,Bay IDC4,2200138,NULL,NULL
West US,Bay IDC4,2200139,NULL,NULL
West US,Bay BY24,2200140,NULL,NULL
West US,Bay BY24,2200141,NULL,NULL
West US,Bay BY24,2200142,NULL,NULL
West US,Bay BY24,2200143,NULL,NULL
West US,Bay BY24,2200144,NULL,NULL
West US,Bay BY24,2200145,NULL,NULL
West US,Bay BY24,2200146,NULL,NULL
West US,Bay BY24,2200147,NULL,NULL
West US,Bay IDC4,2200148,NULL,NULL
West US,Bay IDC4,2200149,NULL,NULL
West US,Bay IDC4,2200150,NULL,NULL
West US,Bay IDC4,2200151,NULL,NULL
West US,Bay IDC4,2200152,NULL,NULL
West US,Bay IDC4,2200153,NULL,NULL
West US,Bay IDC4,2200154,NULL,NULL
West US,Bay IDC4,2200155,NULL,NULL
West US,Bay IDC4,2200156,NULL,NULL
West US,Bay IDC4,2200157,NULL,NULL
West US,Bay IDC4,2200158,NULL,NULL
West US,Bay IDC4,2200159,NULL,NULL
West US,Bay IDC4,2200160,NULL,NULL
West US,Bay IDC4,2200161,NULL,NULL
West US,Bay IDC4,2200162,NULL,NULL
West US,Bay IDC4,2200163,NULL,NULL
West US,Bay IDC4,2200164,NULL,NULL
West US,Bay IDC4,2200165,NULL,NULL
West US,Bay IDC4,2200166,NULL,NULL
West US,Bay IDC4,2200167,NULL,NULL
West US,Bay IDC5,2200168,NULL,NULL
NULL,NULL,2150043,NULL,NULL
NULL,NULL,2150044,NULL,NULL
UK South 2,London LON20,2150090,LO1PrdApp01,LO1
UK South 2,London LON20,2150091,LO1PrdDDC01,LO1
UK South 2,London LON20,2150092,LO1PrdStr01,LO1
UK South 2,London LON20,2150093,LO1PrdStr02,LO1
UK North,Durham,2150094,MM1PrdApp01,MM1
UK North,Durham,2150095,MM1PrdDDC01,MM1
UK North,Durham,2150096,MM1PrdStr01,MM1
UK North,Durham,2150097,MM1PrdStr02,MM1
West Europe,Amsterdam 1,2150107,NULL,NULL
West Europe,Amsterdam 2,2150108,NULL,NULL
West Europe,Amsterdam 2,2150109,NULL,NULL
West Europe,Amsterdam 2,2150110,NULL,NULL
West Europe,Amsterdam 2,2150111,NULL,NULL
West Europe,Amsterdam 2,2150112,NULL,NULL
West Europe,Amsterdam 2,2150113,NULL,NULL
West Europe,Amsterdam 2,2150114,NULL,NULL
West Europe,Amsterdam 2,2150115,NULL,NULL
West Europe,Amsterdam 2,2150116,NULL,NULL
West Europe,Amsterdam 3,2150117,NULL,NULL
West Europe,Amsterdam 3,2150118,NULL,NULL
West Europe,Amsterdam 3,2150119,NULL,NULL
West Europe,Amsterdam AMS04,2150120,NULL,NULL
West Europe,Amsterdam AMS04,2150121,NULL,NULL
West Europe,Amsterdam AMS04,2150122,NULL,NULL
West US,Bay BY22,2150123,BYAPrdApp26,BYA
Canada East,Quebec YQB20,2150124,YQ1PrdApp04,YQ1
West Europe,Amsterdam AMS05,2150125,AM5PrdApp30,AM5
East US,Blue Ridge BL7,2150126,BL7PrdApp07,BL7
West Europe,Amsterdam AMS05,2150127,AM5PrdApp33,AM5
West Europe,Amsterdam AMS05,2150128,AM5PrdApp32,AM5
West US,Bay BY22,2150129,BYAPrdDDC01,BYA
Central US,Des Moines DSM05,2150130,DZ5PrdApp10-01,DZ5
USGov Virginia,Boydton 1,2150131,BN1AzFApp09,BN1
North Central US,Chicago CHI20,2150132,CHAPrdApp04-03,CHA
West Europe,Amsterdam AMS05,2150133,NULL,NULL
West Europe,Amsterdam AMS05,2150134,NULL,NULL
West Europe,Amsterdam AMS05,2150135,NULL,NULL
West Europe,Amsterdam AMS05,2150136,NULL,NULL
West Europe,Amsterdam AMS05,2150137,NULL,NULL
West Europe,Amsterdam AMS05,2150138,NULL,NULL
West Europe,Amsterdam AMS05,2150139,NULL,NULL
West Europe,Amsterdam AMS05,2150140,NULL,NULL
West Europe,Amsterdam AMS05,2150141,NULL,NULL
West Europe,Amsterdam AMS06,2150144,NULL,NULL
West Europe,Amsterdam AMS06,2150145,NULL,NULL
West Europe,Amsterdam AMS06,2150146,NULL,NULL
West Europe,Amsterdam AMS06,2150147,NULL,NULL
West Europe,Amsterdam AMS06,2150148,NULL,NULL
West Europe,Amsterdam AMS06,2150149,NULL,NULL
West Europe,Amsterdam AMS06,2150150,NULL,NULL
West Europe,Amsterdam AMS06,2150151,NULL,NULL
West Europe,Amsterdam AMS06,2150152,NULL,NULL
West Europe,Amsterdam AMS06,2150153,NULL,NULL
West Europe,Amsterdam AMS06,2150154,NULL,NULL
West Europe,Amsterdam AMS06,2150155,NULL,NULL
West Europe,Amsterdam AMS06,2150156,NULL,NULL
West Europe,Amsterdam AMS06,2150157,NULL,NULL
West Europe,Amsterdam AMS06,2150158,NULL,NULL
West Europe,Amsterdam AMS06,2150159,NULL,NULL
West Europe,Amsterdam AMS06,2150160,NULL,NULL
West Europe,Amsterdam AMS06,2150161,NULL,NULL
West Europe,Amsterdam AMS06,2150162,NULL,NULL
West Europe,Amsterdam AMS06,2150163,NULL,NULL
West Europe,Amsterdam AMS06,2150164,NULL,NULL
North Central US,Chicago 1,2136343,NULL,NULL
North Central US,Chicago 1,2136344,NULL,NULL
North Central US,Chicago 1,2136345,NULL,NULL
North Central US,Chicago 3,2136346,NULL,NULL
North Central US,Chicago 1,2136347,NULL,NULL
South Central US,San Antonio IDC4,2136348,NULL,NULL
South Central US,San Antonio IDC2,2136349,NULL,NULL
South Central US,San Antonio IDC2,2136350,NULL,NULL
South Central US,San Antonio IDC2,2136351,NULL,NULL
South Central US,San Antonio IDC2,2136352,NULL,NULL
South Central US,San Antonio IDC4,2136353,NULL,NULL
South Central US,San Antonio IDC4,2136354,NULL,NULL
South Central US,San Antonio IDC4,2136355,NULL,NULL
South Central US,San Antonio IDC4,2136356,NULL,NULL
South Central US,San Antonio IDC4,2136357,NULL,NULL
South Central US,San Antonio IDC4,2136358,NULL,NULL
South Central US,San Antonio IDC4,2136359,NULL,NULL
South Central US,San Antonio IDC4,2136360,NULL,NULL
South Central US,San Antonio IDC4,2136361,NULL,NULL
South Central US,San Antonio IDC4,2136362,NULL,NULL
South Central US,San Antonio IDC4,2136363,NULL,NULL
South Central US,San Antonio IDC4,2136364,NULL,NULL
South Central US,San Antonio IDC4,2136365,NULL,NULL
South Central US,San Antonio IDC4,2136366,NULL,NULL
South Central US,San Antonio IDC4,2136367,NULL,NULL
South Central US,San Antonio IDC4,2136368,NULL,NULL
South Central US,San Antonio IDC4,2136369,NULL,NULL
South Central US,San Antonio IDC4,2136370,NULL,NULL
South Central US,San Antonio IDC4,2136371,NULL,NULL
South Central US,San Antonio IDC4,2136372,NULL,NULL
South Central US,San Antonio IDC4,2136373,NULL,NULL
South Central US,San Antonio IDC4,2136374,NULL,NULL
South Central US,San Antonio IDC4,2136375,NULL,NULL
South Central US,San Antonio IDC4,2136376,NULL,NULL
South Central US,San Antonio IDC4,2136377,NULL,NULL
South Central US,San Antonio IDC4,2136378,NULL,NULL
South Central US,San Antonio IDC4,2136379,NULL,NULL
South Central US,San Antonio IDC4,2136380,NULL,NULL
South Central US,San Antonio IDC4,2136381,NULL,NULL
South Central US,San Antonio IDC4,2136382,NULL,NULL
South Central US,San Antonio IDC4,2136383,NULL,NULL
South Central US,San Antonio IDC4,2136384,NULL,NULL
South Central US,San Antonio IDC4,2136385,NULL,NULL
South Central US,San Antonio IDC4,2136386,NULL,NULL
South Central US,San Antonio IDC4,2136387,NULL,NULL
South Central US,San Antonio IDC4,2136388,NULL,NULL
South Central US,San Antonio IDC4,2136389,NULL,NULL
South Central US,San Antonio IDC4,2136390,NULL,NULL
South Central US,San Antonio IDC4,2136391,NULL,NULL
South Central US,San Antonio IDC4,2136392,NULL,NULL
South Central US,San Antonio IDC4,2136393,NULL,NULL
South Central US,San Antonio IDC4,2136394,NULL,NULL
South Central US,San Antonio IDC4,2136395,NULL,NULL
South Central US,San Antonio IDC4,2136396,NULL,NULL
South Central US,San Antonio IDC4,2136397,NULL,NULL
South Central US,San Antonio IDC4,2136398,NULL,NULL
South Central US,San Antonio IDC4,2136399,NULL,NULL
South Central US,San Antonio IDC4,2136400,NULL,NULL
South Central US,San Antonio IDC4,2136401,NULL,NULL
South Central US,San Antonio IDC4,2136402,NULL,NULL
South Central US,San Antonio IDC4,2136403,NULL,NULL
South Central US,San Antonio IDC4,2136404,NULL,NULL
South Central US,San Antonio IDC4,2136405,NULL,NULL
South Central US,San Antonio IDC4,2136406,NULL,NULL
South Central US,San Antonio IDC4,2136407,NULL,NULL
South Central US,San Antonio IDC4,2136408,NULL,NULL
South Central US,San Antonio IDC1,2136409,NULL,NULL
South Central US,San Antonio IDC4,2136410,NULL,NULL
South Central US,San Antonio IDC4,2136411,NULL,NULL
South Central US,San Antonio IDC4,2136412,NULL,NULL
South Central US,San Antonio IDC4,2136413,NULL,NULL
South Central US,San Antonio IDC4,2136414,NULL,NULL
South Central US,San Antonio IDC4,2136415,NULL,NULL
South Central US,San Antonio IDC4,2136416,NULL,NULL
South Central US,San Antonio IDC4,2136417,NULL,NULL
South Central US,San Antonio IDC2,2136418,NULL,NULL
West US,Bay IDC3,2136419,NULL,NULL
West US,Bay IDC3,2136420,NULL,NULL
West US,Bay IDC3,2136421,NULL,NULL
West US,Bay IDC3,2136422,NULL,NULL
West US,Bay IDC3,2136423,NULL,NULL
West US,Bay IDC3,2136424,NULL,NULL
West US,Bay IDC3,2136425,NULL,NULL
West US,Bay IDC3,2136426,NULL,NULL
West US,Bay IDC3,2136427,NULL,NULL
West US,Bay IDC3,2136428,NULL,NULL
West US,Bay IDC3,2136429,NULL,NULL
West US,Bay IDC3,2136430,NULL,NULL
West US,Bay IDC3,2136431,NULL,NULL
West US,Bay IDC4,2136432,NULL,NULL
West US,Bay IDC4,2136433,NULL,NULL
West US,Bay IDC4,2136434,NULL,NULL
West US,Bay IDC4,2136435,NULL,NULL
West US,Bay IDC4,2136436,NULL,NULL
West US,Bay IDC3,2136437,NULL,NULL
West US,Bay IDC3,2136438,NULL,NULL
West US,Bay IDC3,2136439,NULL,NULL
West US,Bay IDC3,2136440,NULL,NULL
West US,Bay IDC3,2136441,NULL,NULL
West US,Bay IDC3,2136442,NULL,NULL
West US,Bay IDC3,2136443,NULL,NULL
West US,Bay IDC3,2136444,NULL,NULL
West US,Bay IDC3,2136445,NULL,NULL
West US,Bay IDC3,2136446,NULL,NULL
West US,Bay IDC3,2136447,NULL,NULL
West US,Bay IDC3,2136448,NULL,NULL
West US,Bay IDC3,2136449,NULL,NULL
West US,Bay IDC3,2136450,NULL,NULL
West US,Bay IDC3,2136451,NULL,NULL
West US,Bay IDC3,2136452,NULL,NULL
West US,Bay IDC3,2136453,NULL,NULL
West US,Bay IDC3,2136454,NULL,NULL
West US,Bay IDC3,2136455,NULL,NULL
West US,Bay IDC3,2136456,NULL,NULL
West US,Bay IDC3,2136457,NULL,NULL
West US,Bay IDC3,2136458,NULL,NULL
West US,Bay IDC3,2136459,NULL,NULL
West US,Bay IDC3,2136460,NULL,NULL
West US,Bay IDC3,2136461,NULL,NULL
West US,Bay IDC3,2136462,NULL,NULL
West US,Bay IDC3,2136463,NULL,NULL
West US,Bay IDC3,2136464,NULL,NULL
West US,Bay IDC3,2136465,NULL,NULL
West US,Bay IDC3,2136466,NULL,NULL
West US,Bay IDC3,2136467,NULL,NULL
West US,Bay IDC3,2136468,NULL,NULL
West US,Bay IDC3,2136469,NULL,NULL
